Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
12;;0.787;max;35.6;4.0;4.8;35.0;12.7;-2.3;1.2;
12;;0.787;min;15.6;-5.1;-4.6;14.0;-13.9;-5.8;-1.1;
12;114;1.575;max;39.9;4.2;4.9;39.3;12.0;-1.9;1.2;
12;114;1.575;min;17.4;-4.8;-4.7;16.0;-13.3;-5.0;-1.1;
Extremes;114;1.575;u_X;39.9;4.2;4.9;39.3;12.0;-1.9;1.2;CO12
12;13;0.000;u_X;13.7;-5.5;-4.4;11.8;-14.6;-6.4;-1.1;CO15
12;114;1.575;u_Y;39.9;4.2;4.9;39.3;12.0;-1.9;1.2;CO16
12;114;1.575;u_Y;17.4;-4.8;-4.7;16.0;-13.3;-5.0;-1.1;CO18
12;114;1.575;u_Z;39.9;4.2;4.9;39.3;12.0;-1.9;1.2;CO8
12;13;0.000;u_Z;13.7;-5.5;-4.4;11.8;-14.6;-6.4;-1.1;CO10
12;13;0.000;φ_X;30.7;3.8;4.6;30.1;13.3;-2.6;1.2;CO16
